SL,Date of visit,Company Visited,CTC Offered P/A,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,ARC,ARC.1,AERO,AERO.1,PDSI,VLSI,Mat Science,Mechatronics,Geo Informatics,REST,PHYS,MTHS,CHEM,GEOY,Total
,,,Rs. In Lakh,UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
60,2016-03-04 00:00:00,Lafarge,3.7L,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2.0
61,2016-03-10 00:00:00,FI-Tek,5L,1,,1,0,,,0,2,,,,,,,,,,,,,0,,,,,,,,,4.0
62,2016-03-11 00:00:00,Pinnacle,3L,,,,,1,,,,0,,,,,,,0,,,,,,,,,,,,,,1.0
63,2016-03-16 00:00:00,Cuprum Bagrodia,1.92L,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2.0
64,2016-03-21 00:00:00,I F B,4.5L,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
65,2016-03-30 00:00:00,Netguru,2L,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,2.0
66,2016-03-31 00:00:00,Silab Tech,11L,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
67,2016-06-09 00:00:00,Techno Electric & Engg.,N.A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
68,2016-07-23 00:00:00,Hindusthan Unilever,N.A,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
NO. OF OFFERS AS ON 25.07.2016,,,,111,19,72,26,#,22,78,11,77,9,83,5,15,1,31,0,0,#,8,10,31,3,11,1,3,1,2,5,0,736.0
No. of Company Visited for different branches,,,,29  10,,29  13,,33  10,,25    15,,46  13,,21   9,,19   4,,13,1   0,,11  11,,12,17,9,12,6,5,2,3,3,0,
Batch   Size,,,,63   15,,37  22,,#  24,,44    15,,57  23,,88  34,,16  11,,28,13    8,,#  28,,20,19,13,18,4,14,16,15,22,18,
