SL,Date of visit,Company Visited,CTC Offered P/A,CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Safety,PHYS,MTHS,CHEM,MBA,HSCI,Total
,,,Rs. In Lakh(p/a),UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
65.0,2017-06-22 00:00:00,Adobe,N.A.,√,,,,,,,,,,√,,√,,√,,,,,,,,,,,,,,,,,
66.0,,Bandhan Bank,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8.0
67.0,,ITC Ltd.,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0
68.0,,Future Generali Insurance,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2.0
69.0,,PWC,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0
70.0,,State Bank of India,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0
71.0,,Axis Bank,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0
,NO. OF OFFERS,,,84,4,70,7,70,3,72,2,56,3,59,1,28,0,32,0,0,0,12,1,7,1,1,0,1,1,0,0,0,14,0,529.0
,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,,32,15,28,12,31,10,28,13,28,8,20,7,16,0,14,5,8,3,11,7,10,8,6,0,3,4,5,5,3,7,3,
,BATCH SIZE,,,56     10,,38    19,,59   14,,52     11,,54   23,,88   23,,32,,24    2,,17    4,,21    10,,13,9,10,19,5,4,13,16,18,20,19,
