SL,Company Visited,Type of Offer,Eligible Students,Applied Students,Status,Annual CTC ( As per available information ),CST,CST.1,ETC,ETC.1,ETC.2,EE,EE.1,EE.2,IT,IT.1,IT.2,ME,ME.1,CE,CE.1,CE.2,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Foo d Proc.,REST,Bio - Medical,Safety,Phys,Mths,Chem,MBA,Earth Science,Total
,,,,,,Rs. In Lakh(p/a),U G,P G,U G,D D,P G,U G,D D,P G,U G,D D,P G,U G,P G,U G,D D,P G,U G,P G,U G,P G,U G,P G,U G,"A M P
G",PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,
103.0,Mapline,Software,82,44.0,Offered,6,1,1,,,,,,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
104.0,Bentley Systems,Software,26,9.0,Pending,6.4,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
105.0,Ericsson India Global Services (Only Female),Consulting,10,7.0,Offered,6.5,0,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
106.0,Trakinvest Group,Software,271,88.0,Completed,8,0,,0,,,0,,,0,,,0,,0,,,0,,0,,,,0,,,,,,,,,,,,,,0.0
107.0,DCG AI Lab Academy Pvt. Ltd.,Other,14,5.0,Pending,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0
108.0,Srijan Ecological Upliftment Pvt. Ltd.,Core Engineering,60,24.0,Offered,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
109.0,Divsoft Solutions India Pvt. Ltd.,Software,35,20.0,Pending,N.A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
110.0,ArcVac ForgeCast Pvt. Ltd.,Core Engineering,15,10.0,Pending,4.5,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
111.0,Titagarh Wagons Ltd.,Core Engineering,65,35.0,Pending,6,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,8.0
112.0,Runaya Industries,Core Engineering,102,48.0,Pending,5.5,,,0,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
113.0,Realization Technologies,Software,50,28.0,Offered,7.5,0,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
114.0,L&T Technology Services (M.Tech),Software,79,51.0,Pending,7,,0,,,0,,,0,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0
115.0,Indian Oil Corporation  Ltd.,Core Engineering,40,28.0,Pending,15.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
116.0,Ziroh Labs Pvt. Ltd.,Software,25,8.0,Pending,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
117.0,Interra Systems India Pvt. Ltd.,Software,66,30.0,Offered,9,0,0,0,0,0,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
118.0,TLT Engineering Pvt. Ltd.,Core Engineering,12,4.0,Pending,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.0
119.0,Rashmi Group,Core Engineering,21,5.0,Pending,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
120.0,ESSPROM Consultants LLP,Consulting,239,37.0,Offered,3.6,0,,3,0,,0,0,,0,0,,0,,1,0,,0,,0,,,,0,,,,,,,,,,,,,,4.0
121.0,K12 Techno Services Pvt. Lt.,Marketing,15,8.0,Pending,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0
122.0,ArcellorMittal Design and Engineering Centre,Core Engineering,16,9.0,Offered,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0
123.0,PlanetSpark,Marketing,,,Offered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2.0
124.0,PiSquare Technology,Software,31,5.0,Pending,5.5,,0,,,0,,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0
125.0,Samsung R&D,Core Engineering,128,53.0,Pending,12,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
126.0,DX Corr,Core Engineering,77,29.0,Pending,3.6-4.8,0,0,0,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0
127.0,WPIL Ltd.,Core Engineering,71,29.0,Pending,5,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
128.0,L&T ECC,Core Engineering,63,21.0,Pending,,0,,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
129.0,Amazon,Software,281,111.0,Pending,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
130.0,Worley India Pvt. Ltd.,Core Engineering,82,31.0,Pending,3.36,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
131.0,Vedanta- Cairn Oil & Gas (2),Core Engineering,13,9.0,Pending,6,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
132.0,Jindal stainless Ltd.,Core Engineering,58,32.0,Pending,6,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0
133.0,Jacobs Solutions India Pvt. Ltd.,Core Engineering,51,17.0,Pending,4.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,Total Offers as on 08.10.2021,,,,,,87,10,72,3,15,83,1,3,94,1,9,58,1,70,0,2,20,3,23,2,0,0,9,2,7,0,1,1,0,0,1,0,0,0,2,0,580.0
,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,,,,,68,27,56,24,26,58,19,22,63,25,22,51,17,31,13,14,29,11,24,12,5,1,16,12,17,10,16,4,9,8,9,7,8,4,5,3,
,ELIGIBLE / INTERESTED BATCH SIZE,,,,,,70,14,55,2,28,73,2,19,68,1,15,56,19,87,7,33,26,2,29,13,6,5,24,14,15,3,12,14,6,7,7,0,0,8,15,5,
