SL,Date of visit,Company Visited,Status,"CTC
Offered P/A",CST,CST.1,ETC,ETC.1,EE,EE.1,IT,IT.1,ME,ME.1,CE,CE.1,MET,MET.1,MIN,MIN.1,ARC,ARC.1,AERO,AERO.1,VLSI,Mat Science,Mechatronics,Food Proc.,REST,Bio-Medical,PHYS,MTHS,CHEM,MBA,HSCI,Total
,,,,Rs. In Lakh(p/a),UG,PG,UG,PG,UG,PG,UG,PG (ICE),UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,UG,PG,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,P G,
73.0,2018-02-14 00:00:00,Daikin Air-conditioning,Offered,5.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0
74.0,2018-02-15 00:00:00,Mjunction Services Limited,Offered,5,1,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2.0
75.0,2018-02-19 00:00:00,Hindalco,Offered,6.6,,,,,,,,,3,,,,,,5,,,,,,,,,,,,,,,,3,11.0
76.0,2018-02-14 00:00:00,Voith Paper,Under Process,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
77.0,2018-02-15 00:00:00,India Power Corporation Ltd,Under Process,5,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,0.0
78.0,2018-02-19 00:00:00,Gannon Dunkerley,Offered,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4.0
79.0,,Bridge & Roof,Under Process,5,0,,0,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,0.0
80.0,,Almal Group,Under Process,3,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0
81.0,,Balasore Alloys Ltd.,Under Process,,,,0,,0,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,0.0
82.0,,Stup Consultant,Under Process,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0
83.0,2018-04-07 00:00:00,ITD Cementation,Offered,3.5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,4.0
84.0,2018-04-17 00:00:00,Otis  Elevator,Under Process,5,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,2.0
85.0,2018-05-16 00:00:00,Systra,Offered,4.2,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,2.0
86.0,2018-05-07 00:00:00,DCL Group,Offered,3.75,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
87.0,2018-05-08 00:00:00,Denso Haryana,Under Process,4.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3.0
88.0,2018-05-12 00:00:00,S.K.Samanta,Under Process,3.5,,,,,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,2.0
89.0,,WPIL Ltd.,Under Process,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.0
90.0,2018-05-28 00:00:00,Stellar Value Chain,Offered,3,,,,,,,,,,2,,,,,,,,,,1,,,0,,,,,,,,,3.0
,Total offers as on 11.06.2018,,,,58,7,31,4,#,3,61,6,52,2,44,4,#,0,16,0,0,0,12,1,15,1,2,0,1,0,0,4,0,0,3,387.0
,NO. OF COMPANY VISITED FOR DIFFERENT BRANCHES,,,,40,19,37,19,44,18,36,19,49,16,33,15,17,0,17,7,3,0,11,9,13,8,11,0,8,6,5,7,2,2,2,
,ELIGIBLE/INTERESTED BATCH SIZE,,,,44,12,34,#,44,17,36,10,57,14,65,18,30,NIL,27,6,14,1,23,12,14,9,13,22,10,5,12,27,13,5,20,
